distance,model,detection_count,class_id,class_name,confidence,x1,y1,x2,y2
30cm,yolo11n,3,0,can_normal,0.65233,404.07,227.56,478.05,390.02
30cm,yolo11n,3,10,plastic_dirty,0.377592,470.77,3.87,638.96,368.38
30cm,yolo11n,3,0,can_normal,0.310118,252.92,187.83,319.65,367.32
30cm,yolo11s,6,0,can_normal,0.758076,403.91,227.36,477.78,389.33
30cm,yolo11s,6,10,plastic_dirty,0.627716,473.03,3.51,640.0,365.18
30cm,yolo11s,6,8,pet_dirty_packaging,0.407097,164.51,123.37,250.58,373.66
30cm,yolo11s,6,7,pet_packaging,0.335649,162.39,121.2,251.72,373.38
30cm,yolo11s,6,4,glass_packaging,0.310767,254.14,188.42,317.14,364.46
30cm,yolo11s,6,0,can_normal,0.273635,253.78,188.7,317.22,365.12
30cm,yolo12n,1,4,glass_packaging,0.596484,473.36,3.22,639.61,374.15
30cm,yolo12s,3,7,pet_packaging,0.704688,162.4,123.96,250.08,375.36
30cm,yolo12s,3,0,can_normal,0.575038,254.18,188.46,317.29,364.84
30cm,yolo12s,3,4,glass_packaging,0.572939,253.69,188.72,317.23,364.92
30cm,yolo26n,1,10,plastic_dirty,0.452838,476.28,5.55,640.0,364.13
30cm,yolo26s,4,0,can_normal,0.877789,252.8,189.0,317.22,365.87
30cm,yolo26s,4,7,pet_packaging,0.742554,161.99,123.55,254.36,376.35
30cm,yolo26s,4,0,can_normal,0.668414,404.0,226.53,478.73,389.44
30cm,yolo26s,4,4,glass_packaging,0.467432,471.49,5.81,640.0,367.43
